Lactococcus data,,,,,
WT,,,Mutant,,
timestamp [s],elapsed time [h],Photometer output [V],timestamp [s],elapsed time [h],Photometer output [V]
3709937019,1.150001111,2.222155,3710359389,1.149999444,1.628602
3709937049,1.158333333,2.225131,3710359419,1.158331667,1.632174
3709937079,1.166666389,2.222155,3710359449,1.166666389,1.629197
3709937109,1.174999722,2.224536,3710359479,1.174999444,1.628602
3709937139,1.183334167,2.22275,3710359509,1.183332778,1.628007
3709937169,1.1916675,2.225131,3710359539,1.191666389,1.627411
3709937199,1.200000833,2.222155,3710359569,1.2,1.629197
3709937229,1.208334167,2.223941,3710359599,1.208333055,1.628007
3709937259,1.216667222,2.22275,3710359629,1.216666111,1.629793
3709937289,1.225,2.224536,3710359659,1.224998889,1.629793
3709937319,1.233334167,2.225727,3710359689,1.233332778,1.629793
3709937349,1.241665,2.221559,3710359719,1.241666667,1.629793
3709937379,1.250001111,2.225727,3710359749,1.249999444,1.629197
3709937409,1.258333889,2.220964,3710359779,1.258331389,1.627411
3709937439,1.266667222,2.223345,3710359809,1.266666111,1.629793
3709937469,1.274998056,2.224536,3710359839,1.274999167,1.629793
3709937499,1.283333889,2.221559,3710359869,1.283332778,1.632174
3709937529,1.2916675,2.225131,3710359899,1.291665556,1.630388
3709937559,1.300000833,2.226917,3710359929,1.299999722,1.629197
3709937589,1.308334167,2.224536,3710359959,1.308332778,1.630983
3709937619,1.316666944,2.225727,3710359989,1.316666389,1.632174
3709937649,1.325000833,2.225727,3710360019,1.324998611,1.633365
3709937679,1.333334167,2.224536,3710360049,1.333331111,1.63396
3709937709,1.341666667,2.227513,3710360079,1.341666389,1.630983
3709937739,1.350000833,2.227513,3710360109,1.349999444,1.632769
3709937769,1.358335,2.223345,3710360139,1.358331389,1.636342
3709937799,1.366667778,2.223941,3710360169,1.366666111,1.632769
3709937829,1.375000833,2.224536,3710360199,1.374999444,1.632769
3709937859,1.383334444,2.226917,3710360229,1.383332222,1.630388
3709937889,1.391665278,2.227513,3710360259,1.391666667,1.632174
3709937919,1.4,2.224536,3710360289,1.399999444,1.633365
3709937949,1.408334167,2.226322,3710360319,1.408332778,1.633365
3709937979,1.416668056,2.225131,3710360349,1.416666111,1.632769
3709938009,1.425,2.223345,3710360379,1.424998611,1.632174
3709938039,1.433331667,2.226917,3710360409,1.433333055,1.63396
3709938069,1.441667778,2.223941,3710360439,1.441666111,1.633365
3709938099,1.449998333,2.227513,3710360469,1.449999444,1.63396
3709938129,1.458334167,2.226917,3710360499,1.458332778,1.633365
3709938159,1.466666944,2.226917,3710360529,1.466666667,1.63396
3709938189,1.474998333,2.226322,3710360559,1.474999722,1.634556
3709938219,1.483333889,2.225727,3710360589,1.483332222,1.635151
3709938249,1.4916675,2.228108,3710360619,1.491666389,1.636342
3709938279,1.500000833,2.226322,3710360649,1.499999722,1.63396
3709938309,1.508333889,2.225131,3710360679,1.508333055,1.636342
3709938339,1.516667778,2.225131,3710360709,1.516666389,1.632769
3709938369,1.525000833,2.225131,3710360739,1.524998889,1.632769
3709938399,1.533333889,2.227513,3710360769,1.533331111,1.63396
3709938429,1.5416675,2.228703,3710360799,1.541666667,1.631579
3709938459,1.550000833,2.225131,3710360829,1.549999722,1.632174
3709938489,1.558331667,2.225131,3710360859,1.5583325,1.634556
3709938519,1.566665556,2.225727,3710360889,1.566665833,1.631579
3709938549,1.575,2.224536,3710360919,1.574999167,1.633365
3709938579,1.583334444,2.221559,3710360949,1.583332778,1.633365
3709938609,1.5916675,2.227513,3710360979,1.591666111,1.632174
3709938639,1.600000556,2.223941,3710361009,1.599999167,1.632769
3709938669,1.608334167,2.224536,3710361039,1.6083325,1.630388
3709938699,1.616665278,2.227513,3710361069,1.616666111,1.632174
3709938729,1.625001944,2.229894,3710361099,1.624998889,1.633365
3709938759,1.633333333,2.225131,3710361129,1.633333055,1.631579
3709938789,1.6416675,2.229299,3710361159,1.641664722,1.632174
3709938819,1.650001111,2.228703,3710361189,1.649999444,1.633365
3709938849,1.658333889,2.228108,3710361219,1.658332778,1.635746
3709938879,1.6666675,2.227513,3710361249,1.666666111,1.633365
3709938909,1.674999167,2.227513,3710361279,1.674999444,1.635151
3709938939,1.683333056,2.227513,3710361309,1.683333055,1.634556
3709938969,1.691667778,2.222155,3710361339,1.691665833,1.637532
3709938999,1.700001111,2.227513,3710361369,1.699999167,1.638128
3709939029,1.708334167,2.224536,3710361399,1.708333055,1.635151
3709939059,1.716666944,2.22275,3710361429,1.716665556,1.633365
3709939089,1.725000833,2.225131,3710361459,1.724998889,1.634556
3709939119,1.733331389,2.232871,3710361489,1.733332778,1.635746
3709939149,1.741668056,2.232871,3710361519,1.741666111,1.635151
3709939179,1.750001111,2.225727,3710361549,1.749999444,1.636342
3709939209,1.758334167,2.226322,3710361579,1.7583325,1.636342
3709939239,1.7666675,2.228108,3710361609,1.766666389,1.636937
3709939269,1.775001111,2.223941,3710361639,1.774999444,1.635746
3709939299,1.783334167,2.223345,3710361669,1.783333333,1.633365
3709939329,1.791667778,2.226917,3710361699,1.791666111,1.635151
3709939359,1.799998611,2.225131,3710361729,1.799998056,1.634556
3709939389,1.808334167,2.224536,3710361759,1.808332778,1.636342
3709939419,1.816667778,2.222155,3710361789,1.816666111,1.632769
3709939449,1.825000556,2.223345,3710361819,1.824998333,1.636342
3709939479,1.833333333,2.217392,3710361849,1.833333055,1.636937
3709939509,1.8416675,2.219178,3710361879,1.841665833,1.635151
3709939539,1.850000556,2.219178,3710361909,1.8499975,1.634556
3709939569,1.858333056,2.219178,3710361939,1.858331111,1.634556
3709939599,1.866665,2.220964,3710361969,1.866665556,1.633365
3709939629,1.874998889,2.217987,3710361999,1.875000833,1.632174
3709939659,1.883335556,2.220369,3710362029,1.883332222,1.633365
3709939689,1.891670278,2.220369,3710362059,1.891666389,1.642295
3709939719,1.900001111,2.220369,3710362089,1.899997778,1.639914
3709939749,1.908331944,2.219178,3710362119,1.908332778,1.639318
3709939779,1.916665278,2.219178,3710362149,1.916666111,1.6417
3709939809,1.925001389,2.219178,3710362179,1.924998333,1.639914
3709939839,1.933334167,2.220964,3710362209,1.933331389,1.639914
3709939869,1.941667778,2.220964,3710362239,1.941666389,1.639318
3709939899,1.949998611,2.216201,3710362269,1.949998056,1.636937
3709939929,1.958334167,2.218583,3710362299,1.9583325,1.639318
3709939959,1.966668056,2.220369,3710362329,1.966666389,1.638723
3709939989,1.974998889,2.219178,3710362359,1.974999444,1.638723
3709940019,1.983334167,2.221559,3710362389,1.983332778,1.638723
3709940049,1.991666944,2.220964,3710362419,1.991666389,1.641104
3709940079,2.000000833,2.217392,3710362449,1.999999722,1.639318
3709940109,2.008334444,2.221559,3710362479,2.008332778,1.6417
3709940139,2.016666667,2.219178,3710362509,2.016666389,1.640509
3709940169,2.025000833,2.217392,3710362539,2.024998611,1.641104
3709940199,2.033334167,2.219773,3710362569,2.033332778,1.634556
3709940229,2.041666944,2.219773,3710362599,2.041666389,1.635746
3709940259,2.049998889,2.220964,3710362629,2.049999167,1.638128
3709940289,2.058334444,2.219773,3710362659,2.058332778,1.635151
3709940319,2.066667778,2.220369,3710362689,2.066665833,1.639318
3709940349,2.075001111,2.217392,3710362719,2.075000278,1.64289
3709940379,2.083334167,2.216797,3710362749,2.083333333,1.638723
3709940409,2.091667778,2.219178,3710362779,2.091666667,1.637532
3709940439,2.100000278,2.222155,3710362809,2.1,1.637532
3709940469,2.108334444,2.217987,3710362839,2.108333333,1.636937
3709940499,2.116667778,2.217987,3710362869,2.116664722,1.635151
3709940529,2.125001111,2.217987,3710362899,2.124998889,1.635746
3709940559,2.133333889,2.216797,3710362929,2.133332222,1.636937
3709940589,2.141665278,2.219773,3710362959,2.141666389,1.636937
3709940619,2.150000833,2.220369,3710362989,2.149999444,1.638128
3709940649,2.158334167,2.218583,3710363019,2.158332778,1.634556
3709940679,2.1666675,2.220369,3710363049,2.166666389,1.636342
3709940709,2.175004444,2.220964,3710363079,2.174997778,1.635746
3709940739,2.183334167,2.22275,3710363109,2.183332778,1.635746
3709940769,2.1916675,2.223345,3710363139,2.191666111,1.636937
3709940799,2.199998611,2.223941,3710363169,2.199999167,1.638723
3709940829,2.208334167,2.223345,3710363199,2.208332222,1.636937
3709940859,2.21667,2.22275,3710363229,2.216666111,1.639318
3709940889,2.225000833,2.223941,3710363259,2.224998889,1.635746
3709940919,2.233334444,2.222155,3710363289,2.233332222,1.638128
3709940949,2.241665278,2.224536,3710363319,2.241666667,1.63396
3709940979,2.250000833,2.225131,3710363349,2.249999722,1.635151
3709941009,2.258334444,2.225131,3710363379,2.258333055,1.632769
3709941039,2.266667222,2.223345,3710363409,2.266666111,1.634556
3709941069,2.275001111,2.225131,3710363439,2.274998056,1.637532
3709941099,2.283334444,2.224536,3710363469,2.283332778,1.635151
3709941129,2.291665278,2.226322,3710363499,2.291666667,1.632769
3709941159,2.300000833,2.225131,3710363529,2.299998056,1.634556
3709941189,2.308334167,2.226322,3710363559,2.308331111,1.634556
3709941219,2.316665833,2.223941,3710363589,2.316665556,1.635151
3709941249,2.325000833,2.225727,3710363619,2.324998889,1.633365
3709941279,2.333334444,2.223941,3710363649,2.333332222,1.634556
3709941309,2.3416675,2.22275,3710363679,2.341664444,1.636342
3709941339,2.350000556,2.22275,3710363709,2.349999722,1.634556
3709941369,2.358334167,2.223941,3710363739,2.358332778,1.636342
3709941399,2.366666667,2.225131,3710363769,2.366666111,1.630983
3709941429,2.375001111,2.22275,3710363799,2.374997778,1.63396
3709941459,2.383334722,2.223941,3710363829,2.3833325,1.632769
3709941489,2.391665278,2.223941,3710363859,2.391666111,1.634556
3709941519,2.400001667,2.226322,3710363889,2.399998056,1.635746
3709941549,2.408334167,2.226917,3710363919,2.408333055,1.634556
3709941579,2.416666667,2.224536,3710363949,2.416666389,1.628007
3709941609,2.425000278,2.225727,3710363979,2.424998611,1.635151
3709941639,2.433334167,2.225131,3710364009,2.433333333,1.63396
3709941669,2.441667778,2.226322,3710364039,2.441666111,1.635151
3709941699,2.450000833,2.225131,3710364069,2.449998889,1.63396
3709941729,2.458334167,2.226322,3710364099,2.458333055,1.635746
3709941759,2.4666675,2.229299,3710364129,2.466666111,1.635746
3709941789,2.4750025,2.231085,3710364159,2.474999444,1.635746
3709941819,2.483333333,2.229299,3710364189,2.483332778,1.634556
3709941849,2.491667778,2.227513,3710364219,2.491665556,1.634556
3709941879,2.500001389,2.227513,3710364249,2.499999444,1.636937
3709941909,2.508334722,2.229299,3710364279,2.508332778,1.635151
3709941939,2.516666667,2.231085,3710364309,2.516664444,1.636937
3709941969,2.525,2.229894,3710364339,2.5249975,1.635746
3709941999,2.533334167,2.228108,3710364369,2.533331111,1.636342
3709942029,2.541667222,2.229299,3710364399,2.541666389,1.635151
3709942059,2.550001111,2.225727,3710364429,2.549998333,1.63396
3709942089,2.558333333,2.228108,3710364459,2.558333055,1.632769
3709942119,2.5666675,2.227513,3710364489,2.566666111,1.634556
3709942149,2.575000833,2.229299,3710364519,2.574999722,1.637532
3709942179,2.583331667,2.229894,3710364549,2.583333055,1.636937
3709942209,2.591667778,2.225727,3710364579,2.591666944,1.636937
3709942239,2.600000278,2.229299,3710364609,2.599997778,1.638723
3709942269,2.608334444,2.229299,3710364639,2.608331389,1.638128
3709942299,2.6166675,2.227513,3710364669,2.616664444,1.639318
3709942329,2.625000833,2.227513,3710364699,2.624999167,1.640509
3709942359,2.633331944,2.228108,3710364729,2.633332778,1.636342
3709942389,2.641666667,2.225727,3710364759,2.641665,1.637532
3709942419,2.650000833,2.225727,3710364789,2.65,1.635746
3709942449,2.658334722,2.229299,3710364819,2.658332778,1.636342
3709942479,2.666667778,2.228703,3710364849,2.666666389,1.635746
3709942509,2.675000556,2.229894,3710364879,2.674999444,1.634556
3709942539,2.683333333,2.227513,3710364909,2.683333333,1.633365
3709942569,2.691667778,2.223941,3710364939,2.691666389,1.634556
3709942599,2.700001111,2.228703,3710364969,2.699999722,1.63396
3709942629,2.708334444,2.228108,3710364999,2.708333333,1.632769
3709942659,2.716667778,2.227513,3710365029,2.716666389,1.635151
3709942689,2.725000833,2.224536,3710365059,2.724998611,1.637532
3709942719,2.733334167,2.226917,3710365089,2.733331389,1.636937
3709942749,2.741667222,2.226322,3710365119,2.741666111,1.638128
3709942779,2.750001111,2.225131,3710365149,2.75,1.636937
3709942809,2.758334444,2.226322,3710365179,2.758332778,1.632769
3709942839,2.766667778,2.227513,3710365209,2.766666111,1.637532
3709942869,2.775001111,2.226322,3710365239,2.774999444,1.63396
3709942899,2.783334167,2.227513,3710365269,2.7833325,1.635151
3709942929,2.791666111,2.227513,3710365299,2.791666389,1.637532
3709942959,2.800000833,2.228108,3710365329,2.799999444,1.637532
3709942989,2.808333333,2.228108,3710365359,2.808331111,1.635151
3709943019,2.8166675,2.227513,3710365389,2.816665833,1.63396
3709943049,2.825000278,2.225727,3710365419,2.824999444,1.63396
3709943079,2.833334167,2.224536,3710365449,2.833333333,1.634556
3709943109,2.8416675,2.225727,3710365479,2.841666111,1.634556
3709943139,2.849998056,2.225727,3710365509,2.849998056,1.641104
3709943169,2.858332222,2.228703,3710365539,2.858331944,1.638723
3709943199,2.866668056,2.225727,3710365569,2.866666389,1.633365
3709943229,2.875001111,2.223345,3710365599,2.874999444,1.637532
3709943259,2.883334722,2.227513,3710365629,2.883333333,1.632769
3709943289,2.8916675,2.225727,3710365659,2.891666944,1.63396
3709943319,2.899998333,2.224536,3710365689,2.899999722,1.634556
3709943349,2.908331667,2.228703,3710365719,2.908333333,1.636342
3709943379,2.916666667,2.227513,3710365749,2.916666111,1.637532
3709943409,2.925000833,2.226917,3710365779,2.924998611,1.63396
3709943439,2.933334167,2.226322,3710365809,2.9333325,1.636937
3709943469,2.941667778,2.226322,3710365839,2.941666389,1.636342
3709943499,2.950000833,2.227513,3710365869,2.949999444,1.636937
3709943529,2.958331944,2.223941,3710365899,2.958333055,1.635151
3709943559,2.966667222,2.227513,3710365929,2.9666675,1.635151
3709943589,2.975000833,2.227513,3710365959,2.975,1.634556
3709943619,2.983334167,2.225727,3710365989,2.983332778,1.632769
3709943649,2.9916675,2.228108,3710366019,2.991666111,1.63396
3709943679,3.000000278,2.226917,3710366049,2.999999722,1.633365
3709943709,3.008334444,2.225131,3710366079,3.008333055,1.632769
3709943739,3.016667778,2.225727,3710366109,3.016666111,1.633365
3709943769,3.024999722,2.22275,3710366139,3.024998889,1.631579
3709943799,3.033334722,2.225727,3710366169,3.033332778,1.629793
3709943829,3.041667778,2.223345,3710366199,3.041666389,1.632769
3709943859,3.050000556,2.224536,3710366229,3.049999444,1.636937
3709943889,3.058333611,2.223941,3710366259,3.058333055,1.630983
