time/s,Ewe/V,simplifying data 20 pt,simplifying data 24 pt
76210,1.5925441,0,0
76215,1.5821689,0,0
76220,1.5782328,0,0
76225,1.593595,0,0
76230,1.5876527,0,0
76235,1.5849776,0,0
76240,1.5843853,0,0
76245,1.58557,0,0
76250,1.5645521,0,0
76255,1.5857801,0,0
76260,1.5804492,0,0
76265,1.5823982,0,0
76270,1.5855509,0,0
76275,1.5920091,0,0
76280,1.5874997,0,0
76285,1.5819588,0,0
76290,1.5902321,0,0
76295,1.5865062,0,0
76300,1.589869,1,0
76305,1.5857419,0,0
76310,1.5867164,0,0
76315,1.5829905,0,0
76320,1.5756152,0,1
76325,1.5843662,0,0
76330,1.5876718,0,0
76335,1.5892385,0,0
76340,1.5812327,0,0
76345,1.5836401,0,0
76350,1.5892959,0,0
76355,1.5877864,0,0
76360,1.5933657,0,0
76365,1.5635585,0,0
76370,1.590557,0,0
76375,1.581653,0,0
76380,1.5883787,0,0
76385,1.5861241,0,0
76390,1.5854553,0,0
76395,1.5853407,0,0
76400,1.566329,1,0
76405,1.5908817,0,0
76410,1.5848439,0,0
76415,1.5883596,0,0
76420,1.5875571,0,0
76425,1.57915,0,0
76430,1.5839649,0,0
76435,1.5841178,0,0
76440,1.5842898,0,1
76445,1.5799525,0,0
76450,1.5842898,0,0
76455,1.5913976,0,0
76460,1.5834299,0,0
76465,1.5923913,0,0
76470,1.5759782,0,0
76475,1.5827421,0,0
76480,1.5836593,0,0
76485,1.5889519,0,0
76490,1.5815575,0,0
76495,1.5801244,0,0
76500,1.5785385,1,0
76505,1.5859139,0,0
76510,1.5824172,0,0
76515,1.5752712,0,0
76520,1.5859903,0,0
76525,1.5881877,0,0
76530,1.5907289,0,0
76535,1.5834682,0,0
76540,1.5899646,0,0
76545,1.5858375,0,0
76550,1.5752903,0,0
76555,1.5884552,0,0
76560,1.5913022,0,1
76565,1.5810225,0,0
76570,1.5859712,0,0
76575,1.5869457,0,0
76580,1.5759017,0,0
76585,1.5733414,0,0
76590,1.5857228,0,0
76595,1.5883214,0,0
76600,1.5834299,1,0
76605,1.585933,0,0
76610,1.579685,0,0
76615,1.5858756,0,0
76620,1.588436,0,0
76625,1.5850923,0,0
76630,1.5867355,0,0
76635,1.5865827,0,0
76640,1.5925441,0,0
76645,1.5797231,0,0
76650,1.590041,0,0
76655,1.5763985,0,0
76660,1.5855509,0,0
76665,1.5886462,0,0
76670,1.5854362,0,0
76675,1.5855317,0,0
76680,1.5838503,0,1
76685,1.5936522,0,0
76690,1.5902895,0,0
76695,1.5801436,0,0
76700,1.5815383,1,0
76705,1.5847865,0,0
76710,1.5717555,0,0
76715,1.6009321,0,0
76720,1.5849395,0,0
76725,1.5793028,0,0
76730,1.5802009,0,0
76735,1.5919136,0,0
76740,1.5832962,0,0
76745,1.5789971,0,0
76750,1.5901748,0,0
76755,1.5877291,0,0
76760,1.5892959,0,0
76765,1.5819014,0,0
76770,1.5844618,0,0
76775,1.5864871,0,0
76780,1.5943019,0,0
76785,1.5878055,0,0
76790,1.5871367,0,0
76795,1.5739719,0,0
76800,1.5951618,1,1
76805,1.5863916,0,0
76810,1.5900601,0,0
76815,1.59199,0,0
76820,1.5848248,0,0
76825,1.580602,0,0
76830,1.5872514,0,0
76835,1.5840414,0,0
76840,1.5852451,0,0
76845,1.592353,0,0
76850,1.5885124,0,0
76855,1.5921619,0,0
76860,1.5869457,0,0
76865,1.5704371,0,0
76870,1.5913022,0,0
76875,1.5902321,0,0
76880,1.5815383,0,0
76885,1.58129,0,0
76890,1.5849012,0,0
76895,1.5706091,0,0
76900,1.5720803,1,0
76905,1.5847484,0,0
76910,1.5870794,0,0
76915,1.5928689,0,0
